Category,Type,Title,Description,Price,Sales,Rating,Stars,Reviews
Fitness Wear,6,Women Seamless Racerback Sports Bra Yoga Fitness Padded women's sports underwear workout bra,"Features:
100% Brand New And High quality
Fashion style, Sports Bras, Bra Tops
Perfect choice for any activities (yoga,workout,running etc.)
Soft, stretchy and comfortable seamless Bra

Specifications:
Material: cotton + nylon
Color: Black,White,Gray,Purple
Size: M, L, XL
Size Bust(Flat)  Bust(Stretched) Cup
M    64cm/25.19"" 86cm/33.85""     (Suit For)70A/70B 70C/70D/75A/75B
L    68cm/26.52"" 88cm/34.32""     (Suit For)75C/75D 80A/80B/80C/80D
XL   70cm/27.3""  90cm/35.10""     (Suit For)85A/85B 85C/85D/90A/90B
Note:
1. Due to the different monitor and light effect, the actual color of the item might be slightly different from the color showed on the pictures. Thank you!
2. Please allow 1-3cm measuring deviation due to manual measurement.
3. Asian size is smaller than EU/US/UK size, please check the detail size information before purchasing. Thanks.

Package Includes:
1 * Sport Bra",$3.00,10500.0,4.9,,"s*****82022-08-27 18:17 | Variation: gray XLAppearance: OkPerformance: OkQuality: OkItem received in good condition and thanks Seller for the good deal 0:04  helpful?Report Abusealohanx2022-08-13 16:44 | Variation: white MAppearance: okPerformance: okQuality: goodFlexible and cottony comfort and arrive quite fast in time . Material not bad 0:05 helpful?Report Abusefair84432022-08-14 01:07 | Variation: gray XLReceived in good condition. 
Happy with my purchase. 
Thanks! 0:04 helpful?Report Abusep*****42022-08-25 21:12 | Variation: black LOrder received in good order. Delivery time was normal. Yet to try, hope it fits 0:04 helpful?Report Abusejenm12342022-09-29 14:30 | Variation: white XLRepeat order. Delivery time was fast. Very
Comfy to wear and good price too 0:06 helpful?Report Abusej*****72022-10-05 21:14 | Variation: white XLQuality: OkBought 2nd piece again after first time purchase, confortable and size suit me
Suitable for minor sports 0:04 helpful?Report Abuse12345..."
Fitness Wear,7,"Preferred
sports bra underwear gathered shockproof running anti-sagging bra beautiful back bra without steel ring yoga tube top vest","size
M (40-55KG)
L (55-65KG)
XL (65-75KG)
Style
Japanese and Korean characteristics

Is it seamless
Yes
Is there a steel ring
No rims

design feature	
vest
Cup type
Full cup
Mold cup type
Thick mold cup
Shoulder strap type
Fixed shoulder strap
Button type
Back five rows of buckles
tolerance scope	
1-2cm

Features	
Body shaping
colour	
Pink, blue, black
size
M (40-55KG)
L (55-65KG)
XL (65-75KG)",$4.00,2800.0,4.8,,"zanderang19862022-07-05 08:56 | Variation: BLUE,M (40-55KG)Item’s received in good condition, quality is good for the price. Will back for more if needed. 0:09  helpful?Report Abuseatz79m_f5a2022-09-15 16:09 | Variation: PINK,XL (65-75KG)Item received and in good condition. The quality looks quite OK, but seller sent the wrong colour. Chose pink but received blue instead. Also there is no indication of the size anywhere. 0:06 helpful?Report Abuseealra96202022-08-17 12:37 | Variation: BLACK,L (55-65KG)Fit: okColour: okMaterial Quality: Good qualityJust received my order in good condition.  Repeat order from this shop thanks so much seller I really love it 0:09   helpful?Report Abusewinterpiyo2022-09-17 21:56 | Variation: BLACK,L (55-65KG)Material Quality: so soColour: okConsider quite fast delivery. Never state the sizes,so don't know if is the right size or not.Think only can wear few times only. 0:04 helpful?Report Abuser*****02022-07-30 12:45 | Variation: BLACK,M (40-55KG)Fit: Very goodColour: As in pictureMaterial Quality: Very good quality material, very stretchable 0:04 helpful?Report Abuseb*****g2022-09-15 11:29 | Variation: BLUE,L (55-65KG)Material Quality: ComfortableColour: Pretty2nd time buying from this seller. Their sport bras are very comfortable, i wear to sleep and doing exercise. Can wear going out, no problem. Quality is good and pretty especially the blue one. Price are also cheap and delivery was super fast! 0:04 helpful?Report Abuse12345..."
Fitness Wear,8,GOTO Plus Size Women Shockproof Breathable Wireless Push-up Vest Bra Sport Underwear,Specifications:,$3.48 - $4.08,5400.0,4.8,,"t*****l2022-09-22 23:43 | Variation: Skin Color XLMaterial Quality: stretchableColour: beige is more brownishBeige is more brownish.  Good quality, worth the price. 0:04 helpful?Report Abuset*****e2022-08-28 17:26 | Variation: White XXLMaterial Quality: ok. thin and stretchy, likely to go out of shape after a few washes.Colour: as per descriptionBudget product so have budget expectations. Works well for it's price. 0:05 helpful?Report Abusek*****o2022-08-22 07:48 | Variation: Black XLFit: Fit nicely.Material Quality: Material is quite soft and comfortable. Suitable for hot weather. 0:04 helpful?Report Abusepongpong20152022-09-14 22:30 | Variation: White MMaterial Quality: goodColour: whiteI wear size 75 D. Medium fit me perfectly. Comfortable and will not cause rashes.  Will buy more 0:05 helpful?Report Abusel*****t2022-07-28 11:37 | Variation: Black XXXLFit: Just niceColour: BlackMaterial Quality: Stretchable and softLooks good, and fits me nicely. It is cheaper then the ones sold in malls.  Happy with my purchase, will definitely get more. Thanks. 0:22    helpful?Report Abuse8*****l2022-09-05 21:20 | Variation: Skin Color LMaterial Quality: goodColour: goodItems received in good condition,  material soft and comfortable,  thank you seller. 0:11  helpful?Report Abuse12345..."
Fitness Wear,9,Camouflage One-Piece Shockproof Sports Bra Cross Strap Gethering Beautify Back Hasp Fitness Running Yoga Sportswear Women Lingerie,"🌹Welcome To Our Store 
🌹100% Brand New and High Quality 
🌹Follow us to get the latest design and discount. 
🌹Any problem, please feel free to tell us before leaving bad rating, Thank you very much!

👉Name: Sports Bra 
👉Color:Gray,Black,Hotpink
👉Size:
    S: under bust 56cm-64cm,68.3g,32/70A,32/70B,32/70C,32/70D,32/75A,32/75B
    M:under bust 64cm-82 cm,78.8g,34/75B,34/75C,34/75D,34/80A,34/80B
    L:under bust 68cm-88cm,80.5g,	36/80C,36/80D,36/85A,36/85B,36/85C
   XL: Under bust 72-96cm
👉Material: 90% polyester+10% spandex 
👉Design:Cross Strap Quick-Dry,Shockproof,Push Up, Beauty Back,",$6.99,3200.0,4.9,,"h*****92022-08-14 14:44 | Variation: Gray,MTook 5 days to arrived.  Quality wise acceptable. Some stain on 1 piece. 0:05  helpful?Report Abusec*****t2022-07-15 01:56 | Variation: Gray,XL 72-96cmAppearance: goodPerformance: goodQuality: okThank you seller... Love yr product.  My bust 94cm, lower bust 84cm. Bot XL Size, wz hook fitted onto the very first buckle, still ABIT too big for me. Shd hv downsize to L size, to give you more compression 0:52   helpful?Report Abusemyint032022-09-17 09:51 | Variation: Black,MDelivery received within one week from the date purchase, true to the size , good quality 0:07 helpful?Report Abusejoannelim1232022-09-18 01:00 | Variation: Black,SAppearance: goodPerformance: goodQuality: goodReceived in good condition . Value for money and the material seem good . 0:08 helpful?Report Abusecommcatbyhg2022-08-14 10:06 | Variation: Gray,MAppearance: smooth fabricPerformance: sweat absorbingQuality: Not bad for priceM size for 51kg 0:08 helpful?Report Abuseyanfentan2022-09-10 11:05 | Variation: Gray,MLove it! Size fits as stated and the quality is great for price. Will buy again. 0:04 helpful?Report Abuse12345..."
Fitness Wear,6,Stretch Yoga Pants Hip-lifting High Waist Sports Fitness Running Tight Leggings with Pockets,"*Our Size is Asian size, normally it is about 1-2 sizes small compare with EU/US size, please check our size design before you making order, otherwise the product may not fit you!

* Size chart::
  Size      Waist        Hip      Length     
     S        50-74        78         86          
     M       52-76        82         87          
     L        56-80        84         88        
     XL      59-83        88        89          
    XXL     62-86        92        90          

* Specifications:
Color: grey lake blue, bean paste powder, sauce eggplant purple, star shining black, sea rock ash, sweet whale blue 
Size: S,M,L,XL,XXL
Material: 80% polyester  +20% spandex


100% Brand new and high quality!

* Package includes: 
1 x Women Short Pants 

* Note:     
1. Due to manual measurement, please allow a difference of 1-2 mm.
2. Due to the difference between the display and the light, the picture may not reflect the actual color of the item. Thank you for your understanding.

* Tips: 
1. Recommended hand wash, hang dry.Try to avoid soaking .
2. Professional sports fabrics need to be washed separately, especially not with a towel, so as not to damage the fabric fibers and affect moisture absorption and perspiration.

#compression #trouser #leggings #yoga leggings #slimming #skinny #Sweatpants #tights #dri-fit #fitness pants #gym #dri-fit #fashion #clothes #sports #Jogging Pants #breathable #long pants",$8.50,4700.0,4.8,,"a*****f2022-09-17 12:59 | Variation: dark  blue,XXLAppearance: nice and trendy colorsPerformance: wicks moisture awayQuality: good qualityQuality is good and seams are very neat. Great buy and deliveey was quick. Happy with purchase. 0:18 helpful?Report Abusey*****a2022-09-23 23:03 | Variation: dark  blue,XLAppearance: prettyPerformance: goodQuality: goodMaterial very soft. Pockets are shallow and mesh… not sure how long it can last 0:07 helpful?Report Abusel*****32022-09-02 20:57 | Variation: black,SFast delivery and items received in good condition, haven’t try it yet. 0:08 helpful?Report Abuse7*****n2022-08-24 16:58 | Variation: light  blue,XLAppearance: okPerformance: okQuality: okBought 2 for $17.01.  Thanks for the delivery.  Yet to try. 0:07 helpful?Report Abuseez7r0b4_ts2022-09-14 16:50 | Variation: black,MQuality: very nice the materials and fit M fit for me, im 48kg 0:16 helpful?Report Abuses*****82022-08-01 01:26 | Variation: black,XXLAppearance: Brought a few pairs already, true to fit and i love itQuality: Used for abt a year now from previous purchase still pretty good 0:04 1Report Abuse12345..."
Fitness Wear,7,Lovito Summer Plain High Waist Sports Yoga Pants L02044 (Light Blue/Pink/Black/Dark Blue/Gray/Green/Purple/Beige/Red/Brown),"
",$6.90,18000.0,4.9,,"s*****02022-09-01 19:36 | Variation: Black,LAppearance: GoodPerformance: GoodQuality: GoodItems received in good condition. Bought one size up and fits comfortably. Order to delivery takes one week. 0:04  seller's response:Hi dear, thank you very much for your support. Your satisfaction is our greatest motivation. We look forward to your next visit.helpful?Report Abusen*****12022-09-14 10:35 | Variation: Dark Blue,SQuality: really goodAppearance: nice pants blue colourPerformance: goodIt's true to size and fits very well. I have 2 other varieties of the same product 0:05     seller's response:Hi dear, thank you very much for your support. Your satisfaction is our greatest motivation. We look forward to your next visit.helpful?Report Abusek*****w2022-10-02 11:17 | Variation: Black,MFast delivery. Quality is very good. Not those thin material. Worth the price. 0:14  seller's response:Hi dear, thank you very much for your support. Your satisfaction is our greatest motivation. We look forward to your next visit.helpful?Report Abusecynntan732022-09-13 17:48 | Variation: Black,2XLAppearance: excellentPerformance: excellentQuality: excellentLove the yoga pants. Size runs to 2xl which is great for my size. Thanks! 0:05 seller's response:Hi dear, thank you very much for your support. Your satisfaction is our greatest motivation. We look forward to your next visit.helpful?Report Abusew*****r2022-09-26 15:52 | Variation: Black,MAppearance: goodPerformance: goodQuality: goodThe goods have been received, the first purchase, the quality is good, I hope it is easy to use, I will definitely introduce my family and friends to buy together 0:06 seller's response:Hi dear, thank you very much for your support. Your satisfaction is our greatest motivation. We look forward to your next visit.helpful?Report Abusejerryongkl2022-08-31 21:33 | Variation: Black,MHonestly, their items look good and nice. However, the problem is with their QC. Ordered Same items of same sizes, but can received them with a big difference. 0:14 seller's response:Hi dear, we are deeply sorry for the unpleasant experience.We suggest you contact our agents for a solution if the size doesn’t fit you well. Lovito has its own measurements, and we suggest you check body measurements on the product detail page or simply provide your body measurements to our agents. We’ll always choose a fitting size for you.If you have any questions, please feel free to contact our customer service. We will definitely offer you a satisfactory solution.helpful?Report Abuse12345..."
Fitness Wear,8,"Preferred
SG INSTOCKS Ladies running/ yoga pants High waist YOGA SPORTS PANTS (EUROPEAN PEACH BUTTOCK)","Stop procrastinating, receive your yoga pants in few days to start your workout!

Receive in about 1-3 working days!!
 
Suitable for all kinds of sports
Come in 6 color and 6 size

High Elasticity and support peach shape butt as shown in picture
Nylon material (please note that this is not cotton)
Looks sexy and slim

Color: Grey Blue, Pink, Black, Grey, Purple, Navy Blue
** Please take note that there might be slight color difference. Esp for Navy Blue as it may not appear as dark as the picture provided
Size: S,M,L,XL,2XL,3XL

Take note cutting might be smaller than usual 
So we strongly encourage to consider 1-2 size bigger
(Allow 1-3cm difference in the below measurement)


S- Length: 86cm, Waist: 50-74cm, Hip: 78cm (Petite)
M- Length: 87cm, Waist: 52-76cm, Hip: 82cm
L- Length: 88cm, Waist: 56-80cm, Hip: 84cm 
XL - Length: 89cm, Waist: 59-85cm, Hip: 88cm
XXL - Length: 90cm, Waist: 62-88cm, Hip: 92cm
3XL- Length: 91cm, waist: 66-92cm, Hip: 96cm

Recommended
The below are just for reference but pls take your height into consideration as well! And due to the different body structures and shapes, the sizes may not be too accurate for people with same weight and height. 
S- suitable for weight range: 40-45kg
M- suitable for weight range: 46-52kg
L- suitable for weight range: 53-59kg
XL - suitable for weight range: 60-65kg
XXL - suitable for weight range: 65-70kg
3XL - suitable for weight range: 70-75kg

Disclaimer: *if possible, try to avoid washing machine",$7.87,6000.0,4.8,,"jajajojo55552022-08-11 14:18 | Variation: Black,2XLreceived in good condition ,material look good thank you seller 0:09  helpful?Report Abusewen_soon2022-08-01 15:35 | Variation: Black,2XLAppearance: nicePerformance: goodQuality: goodMaterial is good, quite thick and comfortable. Just slightly short for 170cm height. 0:04 helpful?Report Abuseg*****s2022-09-19 11:05 | Variation: Black,XLSize runs a little small and not as stretchy. I’m a size M but it feels a little tight. 0:04 helpful?Report Abusec*****52022-06-29 19:17 | Variation: Black,LReceived within few days. Looks good. Height 162 just nice. 0:12 helpful?Report Abuse6*****e2022-08-26 19:56 | Variation: Black,MItem received in good condition… very fast delivery.. received in 2-3 days 👍🏻👍🏻 0:05 helpful?Report Abuses*****h2022-08-28 19:08 | Variation: Black,3XLGood quality for the price. Size is fitting too. Will purchase again 0:04 helpful?Report Abuse12345..."
Fitness Wear,9,Cross-Border European and American Stretch Yoga Pants Spring New Sports Yoga Casual Pants European Peach Sheath Leggings,"SOURCE Type: Spot
Fabric Name: Polyester
Main Fabric Composition: Polyester Fiber (Polyester)
Content of Main Fabric Components: 91%-99%
Main Fabric Composition 2: Spandex
Content of Main Fabric Component 2: 10%-29%
Lining Composition: Polyester Fiber (Polyester)
Content of Lining Ingredients: 51%-70%
Style: European and American
Pants Length: Trousers
Style: Pencil Pants/Skinny Pants
Thickness: Ordinary
Function: Hip Lifting
Pattern: Solid Color
Popular Elements: Solid Color
Year of Listing/Season: Spring 2022
One-Piece Trousers Or Not: No
Color: White, Gray, Black-
Size: S,M,L,XL,2XL
Other Elements: Slimming",$6.73,20.0,4.4,,"c*****z2022-09-06 22:56 | Variation: green,MAppearance: goodPerformance: okQuality: okI like the fitting but the color is lije different from the photo. But i still like so its ok😂 0:06 seller's response:Thank you for visiting the store. I am very happy to serve you. We welcome you to visit next time.🥰🥰🥰helpful?Report Abusenavaneethakrishnan2022-08-17 14:12 | Variation: Gray,SThe quality and the colour good. Worth for money  seller's response:Thank you for your review, hope to visit next time😘😘😘1Report Abusesaraswathyvijay2022-08-03 11:46 | Variation: Gray,Mseller's response:Dear Thank you for visiting the store. I am very happy to serve you. We welcome you to visit next time.😘😘😘1Report Abuserinirinii16224182022-07-19 17:54 | Variation: Gray,LSo God Buy Tks 👍💪 seller's response:Wow~Thank you for your kind praise, it is our honor to get your praise, we will do better and better, looking forward to your next visit...thks😘1Report Abusenikithar2022-09-21 12:59 | Variation: Black,SAppearance: look cheapPerformance: badQuality: terribleThe waist is way too high even for me who is 1.7m tall. The paints aren't tight overall just wasting my moneyseller's response:Sorry for bringing you a bad shopping experience. We will try to improve it. This style is indeed high waisted because everyone's body proportions are different. It may be a bit biased. So Sorry🙏🙏🙏helpful?Report Abuserinirinii16224182022-07-19 17:59 | Variation: Black-,LSo God Buy Tks 👍💪 seller's response:Wow~Thank you for your kind praise, it is our honor to get your praise, we will do better and better, look forward to your next visit...1Report Abuse12"
Resistance Bands,6,SG Ready Stock | NEW REEZY Resistance Bands (Washable Anti-Slip) - Set of 3pc Fabric Resistance Bands (Glute Hip Bands),"1. Should I get the 12.5 inches or 14.5 inches?
• The length of bands should be determined by the circumference of your thighs (area above your knees) where the bands will be worn most often. Do measure the widest part of your thigh (single thigh width). If your thigh width is between 36cm and 50cm, 12.5 inches may be better for you. If your thigh width is between 51cm and 65cm, 14.5 inches may be preferable. Should you prefer a different size from what you’ve ordered, we’d be happy to do a free exchange for you at our office at Peninsula Plaza.

2. How tight should the bands be?
• It’s generally a personal preference of how tight you’d like the bands to be. A guide would be if you’re an Asian build of about 160cm and 45kg, 12.5 inches would suit you. If you’re 165cm and 60kg, then perhaps the 14.5 inches would suit better. But again, it is a personal preference. 

3. Can I wash the bands?
• Yes, you can! Just hand wash the bands with cool running water and light washing detergent to prevent colour runs and premature wear-and-tear.

About Reezy
Reezy is a high-quality fabric resistance band that helps you strengthen your lower body. Let Reezy be your new workout partner and beat the resistance in your mind. Reezy is anti-slip, safe, washable, offers unique resistance and comes with a beautiful canvas pouch. Reezy will empower you to strengthen your glutes, hips, hamstrings, quads, calves and abs! A set comes in 3 resistance levels (with 3 lovely colours), along with a beautiful canvas bag.

3 Resistance Levels
• Sashimi Orange offers a light resistance of 14 to 25 pounds (6.4 to 11.3kg).
• Blush Pink offers a moderate resistance of 25 to 35 pounds (11.3 to 15.9kg).
• Cadet Blue offers a heavy resistance of 40 to 50 pounds (18.1 to 22.7kg).
 
Beautiful Canvas Bag
• The beautifully designed canvas drawstring pouch makes it convenient for you to carry your bands to the gym, office, beach in style. Workout anywhere with Reezy!

Benefits
• ACHIEVE YOUR BEST PHYSIQUE: Enhance your lower body with Reezy. Increase resistance strength to your desired level with our heavy-duty elasticity. These bands are made with quality cotton and polyester. Reezy will empower you to strengthen your glutes, hips, hamstrings, quads, calves and abs!
• ANTI-SLIP TECHNOLOGY: Reezy is made with cushy yet durable fabric augmented with two strips of anti-slip latex grip lines (0.5"" each) that keeps the band from rolling or slipping. Definitely a must-have for any serious user!
 • PORTABLE & VERSATILE: The beautifully designed canvas drawstring pouch makes it convenient for you to carry your bands to the gym, office, beach in style. Workout anywhere with Reezy!

Details
• REEZY Resistance Bands (Washable Anti-Slip Fabric Loop Bands) - Non-Latex Exercise Bands, 3pcs Elastic Glutes Bands, Hip Band and Resistance for Legs and Lower Body Strength Training, Indoor and Outdoor Gym Equipment
• Every Set Purchase Comes With A Beautiful Washable Canvas Carrying Pouch.
• Total Weight: < 500g
• Resistance Tensile Strength: 14 - 50lbs (6.4 - 22.7kg) ",$18.20,165.0,5.0,,"karencly802022-08-15 20:30 | Variation: 14.5 inchesPerformance: goodQuality: goodSuitability: goodLoves it. Bought it during 8.8 sale at v good price. The black strips inside are rubber for anti-slip. All 3 has different resistance. Strength are indicated inside the bands. 0:11 helpful?Report Abuser*****i2022-08-12 18:41 | Variation: 14.5 inchesReceived in good condition. Thank you. 0:04  helpful?Report Abusej*****u2022-07-25 16:41 | Variation: 14.5 inchesQuality: Good!Suitability: Good!Happy with the purchase, arrived fast. I can tell the difference in resistance between the 3 bands, quality looks good too. I hope they last! 0:08 seller's response:Thank you! Enjoy the bands :)1Report Abusek*****s2022-03-17 13:28 | Variation: 12.5 inchesFast shipping. Can bring along to my 2 weeks plus vacay. Im 1.55m 40kg. This size fits me. 0:11 1Report Abusejoseph0212022-03-14 10:52 | Variation: 12.5 inchesNice packaging! Delivery was relatively fast, haven't tried 0:04 1Report Abusep*****w2020-10-16 14:24 | Variation: 12.5 inchesVery awesome bands for workouts! Good quality and vibrant colours. Comes with drawstring pouch for carrying around. Seller followed up to ensure I receive my order. Will highly recommend the purchase of these bands! 0:27    seller's response:Thank you! Enjoy the bands!1Report Abuse12345..."
Resistance Bands,7,"Adjustable Resistance Bands for Legs&Hip,Non-Slip Fabric Exercise Bands for Fitness Squat Workout-Triple Resistance Choice&","
    【Triple Resistance Choice】Different resistance levels provide you more convenient workout experience.Light resistance for beginner,Medium resistance for Intermediate learner,Heavy resistance for Advanced learner.
    【2020 Upgrade Adjustable Design】Two sewing locks make it stronger.Adjustable bayonet bumps to increase slip resistance.Adjustable buckle to adjust different tension to improve exercise efficiency. Easy to carry&use.
    【Featured Materials】High-quality combed cotton, natural latex silk which make the elastic band more durable and reusable.
    【Suitable Exercises】- Exercise bands are ideal for assisting in P90x, CrossFit, Yoga, Pilates, Hot Yoga, and Beach Body workouts etc. Flexible fabric bands will not slide or roll up during workouts,the best choice for sports and fitness.
    【After Sales Service】exercise bands 90 days return and money back guarantee. We will provide excellent after-sales service.
",$15.00,55.0,4.9,,"angeline35352022-04-03 16:01 | Variation: Medium+GreenDelivery took some time, item are in good condition. Good product 👍🏼 0:04 helpful?Report Abusecaeminhee2020-09-23 11:10 | Variation: Light+BlackItem received in good condition. Working as intended. One thing to note is that the 3 buckles to secure the strap werent tight enough. And it sort of allows it to loosen upon using it. Otherwise it’s all good! 0:06 helpful?Report Abuse22jojo2022-08-16 16:00 | Variation: Heavy+BlackWell packed and arrived faster on time...good quality helpful?Report Abusenicholelezz2020-10-05 14:18 | Variation: Heavy+GreenArrived quickly and promptly. Hopefully I can use it while working out!   seller's response:thankshelpful?Report Abusej*****n2020-11-02 21:01 | Variation: Heavy+GreenGood quality. Already placed 2nd order for medium.  helpful?Report Abusee*****y2020-08-08 22:31 | Variation: Medium+GreyReceived in good condition. Grey medium is just right for me. Not too easy, not too hard. Like it that its adjustable so wont drop all over the place.  helpful?Report Abuse1234"
